Key,Version,Directory,Name,Path,Author,Owner,Year,License,Summary,AutoGenerateREADME,UpdateLegal
2 Cylinder Engine,0,2CylinderEngine,2 Cylinder Engine,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/2CylinderEngine,Khronos,Unknown,2017,Khronos-Archive,"Small CAD data set, including hierarchy.",FALSE,TRUE
A Beautiful Game,1,ABeautifulGame,A Beautiful Game,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/ABeautifulGame,"MaterialX Project, Ed Mackey","ASWF, original model
Ed Mackey, conversion",2021,CC-BY 4.0,Chess set using transmission and volume.,FALSE,FALSE
Alpha Blend Mode Test,1,AlphaBlendModeTest,Alpha Blend Mode Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/AlphaBlendModeTest,Ed Mackey,"Analytical Graphics, Inc.",2018,CC-BY 4.0,Tests alpha modes and settings.,FALSE,TRUE
Animated Cube,1,AnimatedCube,Animated Cube,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/AnimatedCube,Norbert Nopper,UX3D,2017,CC0,Same as previous cube having a linear rotation animation.,TRUE,TRUE
Animated Morph Cube,1,AnimatedMorphCube,Animated Morph Cube,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/AnimatedMorphCube,Microsoft,Microsoft,,CC0,Demonstrates a simple cube with two simple morph targets and an animation that transitions between them both.,FALSE,TRUE
Animated Morph Sphere,1,AnimatedMorphSphere,Animated Morph Sphere,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/AnimatedMorphSphere,Microsoft,Microsoft,,CC0,"This sample is similar to the Animated Morph Cube, but the two morph targets move many more vertices and are more extreme than with the cube.",FALSE,TRUE
AnimatedTriangle,1,AnimatedTriangle,AnimatedTriangle,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/AnimatedTriangle,Unknown,Public,2017,CC0,"This sample is similar to the Triangle, but the node has a rotation property that is modified with a simple animation",FALSE,TRUE
Antique Camera,1,AntiqueCamera,Antique Camera,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/AntiqueCamera,Maximillan Kamps,UX3D,2018,CC0, ,TRUE,
Attenuation Test,1,AttenuationTest,Attenuation Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/AttenuationTest,Ed Mackey,"Analytical Graphics, Inc.",2021,CC-BY 4.0,"Tests the interactions between attenuation, thickness, and scale.",FALSE,
Avocado,1,Avocado,Avocado,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/Avocado,Microsoft,,,CC0, ,TRUE,TRUE
Barramundi Fish,1,BarramundiFish,Barramundi Fish,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/BarramundiFish,Microsoft,,,CC0, ,TRUE,TRUE
Boom Box,1,BoomBox,Boom Box,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/BoomBox,Microsoft,,,CC0, ,TRUE,TRUE
Boom Box with Axes,1,BoomBoxWithAxes,Boom Box with Axes,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/BoomBoxWithAxes,Microsoft,,,CC0,"Shows X, Y, and Z axis default orientations.",TRUE,TRUE
Box,1,Box,Box,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/Box,Cesium,Cesium,2017,CC-BY 4.0,One mesh and one material. Start with this.,TRUE,TRUE
Box With Spaces,1,Box With Spaces,Box With Spaces,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/Box%20With%20Spaces,Ed Mackey,"Analytical Graphics, Inc.",,CC0,Box with URI-encoded spaces in the texture names used by a simple PBR material.,FALSE,TRUE
Box Animated,1,BoxAnimated,Box Animated,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/BoxAnimated,Cesium,Cesium,2017,CC-BY 4.0,Rotation and Translation Animations. Start with this to test animations.,FALSE,TRUE
Box with interleaved position and normal attributes,1,BoxInterleaved,Box with interleaved position and normal attributes,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/BoxInterleaved,Cesium,Cesium,2017,CC-BY 4.0,Box example with interleaved position and normal attributes.,TRUE,TRUE
Box Textured,1,BoxTextured,Box Textured,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/BoxTextured,Cesium,Cesium,2017,CC-BY 4.0 and TM,Box with one texture. Start with this to test textures.,FALSE,
Box Textured,1,BoxTexturedNonPowerOfTwo,Box Textured,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/BoxTexturedNonPowerOfTwo,Cesium,Cesium,2017,CC-BY 4.0 and TM,Box with a non-power-of-2 (NPOT) texture. Not all implementations support NPOT textures.,FALSE,
Box Vertex Colors,0,BoxVertexColors,Box Vertex Colors,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/BoxVertexColors,Michael Feldstein,Unknown,2017,Unknown,Box with vertex colors applied.,TRUE,TRUE
Box With Spaces II,0,Box With Spaces,Box With Spaces II,,Ed Mackey,"Analytical Graphics, Inc.",2021,CC0,Box with URI-encoded spaces in the texture names used by a simple PBR material.,FALSE,TRUE
BrainStem,0,BrainStem,BrainStem,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/BrainStem,Keith Hunter,"Smith Micro Software, Inc.",2017,Khronos-Archive,Animations. Skins.,FALSE,
Buggy,1,Buggy,Buggy,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/Buggy,Khronos,Unknown,2017,Khronos-Archive,"Medium-sized CAD data set, including hierarchy",TRUE,TRUE
Cameras,1,Cameras,Cameras,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/Cameras,Unknown,Public,2017,CC0,A sample with two different camera objects,FALSE,TRUE
Cesium Man,1,CesiumMan,Cesium Man,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/CesiumMan,Cesium,Cesium,,CC-BY 4.0 and TM,Textured. Animations. Skins.,FALSE,
Cesium Milk Truck,1,CesiumMilkTruck,Cesium Milk Truck,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/CesiumMilkTruck,Cesium,Cesium,,CC-BY 4.0 and TM,Textured. Multiple nodes/meshes. Animations.,FALSE,
KHR_materials_clearcoat Test,1,ClearCoatTest,KHR_materials_clearcoat Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/ClearCoatTest,Ed Mackey,"Analytical Graphics, Inc.",2020,CC-BY 4.0,Tests if the KHR_materials_clearcoat extension is supported properly.,FALSE,TRUE
Corset,1,Corset,Corset,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/Corset,Microsoft,UX3D,2017,CC0, ,TRUE,TRUE
Cube,1,Cube,Cube,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/Cube,Norbert Nopper,UX3D,2017,CC0,A cube with non-smoothed faces.,TRUE,TRUE
Damaged Helmet,0,DamagedHelmet,Damaged Helmet,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/DamagedHelmet,Khronos,Sketchfab,2019,"CC-BY-NC
See: http://www.graphics.stanford.edu/data/3Dscanrep/#acknowledge", ,FALSE,
Dragon Attenuation,1,DragonAttenuation,Dragon Attenuation,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/DragonAttenuation,Khronos,Khronos,2021,Multiple,"Dragon with background, using material variants, transmission, and volume.",FALSE,
Duck,1,Duck,Duck,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/Duck,Sony,Sony,2006,"SCEA Shared Source License, Version 1.0",The COLLADA duck. One texture.,FALSE,
Emissive Strength Test,1,EmissiveStrengthTest,Emissive Strength Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/EmissiveStrengthTest,Ed Mackey,AGI,2022,CC-BY 4.0,Tests if the KHR_materials_emissive_strength extension is supported properly.,FALSE,FALSE
Environment Test,1,EnvironmentTest,Environment Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/EnvironmentTest,Khronos,Adobe,2017,Unknown,A simple scene with metal and dielectric spheres that range between 0 and 1 roughness. Useful for testing environment lighting.,FALSE,
Flight Helmet,,FlightHelmet,Flight Helmet,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/FlightHelmet,Microsoft,Public,2019,CC0, ,TRUE,TRUE
Fox,0,Fox,Fox,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/Fox,"Model: PixelMannen
Rigging & Animation: tomkranis",Public,2017,CC-BY 4.0,"Multiple animations cycles: Survey, Walk, Run.",FALSE,
Gearbox Assy,1,GearboxAssy,Gearbox Assy,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/GearboxAssy,Khronos,Unknown,2017,Unknown,"Medium-sized CAD data set, including hierarchy.",TRUE,TRUE
GlamVelvetSofa,1,GlamVelvetSofa,GlamVelvetSofa,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/GlamVelvetSofa,Eric Chadwick,"Wayfair, LLC",2021,CC-BY 4.0,"Sofa using material variants, sheen, and specular.",FALSE,TRUE
Interpolation Test,1,InterpolationTest,Interpolation Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/InterpolationTest,Khronos,Public,2017,CC0,A sample with three different animation interpolations,TRUE,TRUE
Iridescence Dielectric Spheres,1,IridescenceDielectricSpheres,Iridescence Dielectric Spheres,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/IridescenceDielectricSpheres,Khronos,Public,2019,CC0,Tests KHR_materials_iridescence on a non-metallic material.,FALSE,TRUE
Iridescence Lamp,1,IridescenceLamp,Iridescence Lamp,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/IridescenceLamp,Eric Chadwick,"Wayfair, LLC",2022,CC-BY 4.0,"Wayfair Lamp model using transmission, volume, and KHR_materials_iridescence.",FALSE,TRUE
Iridescence Metallic Spheres,1,IridescenceMetallicSpheres,Iridescence Metallic Spheres,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/IridescenceMetallicSpheres,UX3D,UX3D,2022,CC0,Tests KHR_materials_iridescence on a metallic material.,FALSE,TRUE
Iridescence Suzanne,1,IridescenceSuzanne,Iridescence Suzanne,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/IridescenceSuzanne,Mathias Kanzler,,2021,CC-BY 4.0,Further tests KHR_materials_iridescence.,FALSE,TRUE
Iridescent Dish with Olives,1,IridescentDishWithOlives,Iridescent Dish with Olives,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/IridescentDishWithOlives,Eric Chadwick,"Wayfair, LLC",2020,CC-BY 4.0,"Dish using transmission, volume, IOR, and specular.",FALSE,TRUE
Lantern,1,Lantern,Lantern,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/Lantern,Microsoft,Microsoft,2021,CC-BY 4.0, ,TRUE,TRUE
Lamp using KHR_lights_punctual Extension,1,LightsPunctualLamp,Lamp using KHR_lights_punctual Extension,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/LightsPunctualLamp,DGG,DGG,2021,CC-BY 4.0,Lamp using punctual lights.,FALSE,TRUE
Materials Variants Shoe,1,MaterialsVariantsShoe,Materials Variants Shoe,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/MaterialsVariantsShoe,Shopify,Shopify,2020,CC-BY 4.0,Shoe using material variants.,FALSE,
Metal-Rough Spheres,1,MetalRoughSpheres,Metal-Rough Spheres,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/MetalRoughSpheres,Ed Mackey,"Analytical Graphics, Inc.",2017,CC-BY 4.0,Tests various metal and roughness values (texture mapped).,TRUE,TRUE
Metal-Rough Spheres (textureless),1,MetalRoughSpheresNoTextures,Metal-Rough Spheres (textureless),https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/MetalRoughSpheresNoTextures,Krill Gavrilov,Public,2017,CC0,Tests various metal and roughness values (textureless).,FALSE,TRUE
Morph-Primitives Test,1,MorphPrimitivesTest,Morph-Primitives Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/MorphPrimitivesTest,Ed Mackey,"Analytical Graphics, Inc.",2021,CC-BY 4.0,Tests a morph target on multiple primitives.,FALSE,TRUE
Morph Stress Test,1,MorphStressTest,Morph Stress Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/MorphStressTest,Ed Mackey,"Analytical Graphics, Inc.",2021,CC-BY 4.0,Tests up to 8 morph targets.,FALSE,TRUE
Mosquito In Amber,1,MosquitoInAmber,Mosquito In Amber,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/MosquitoInAmber,Loic Norgeot,Sketchfab,2020,CC-BY 4.0,"Mosquito in amber by Sketchfab, using transmission, IOR, and volume.",FALSE,
MultiUV Test,1,MultiUVTest,MultiUV Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/MultiUVTest,Hilo 3D,Hilo 3D,2017,CC-BY 4.0,Tests a second set of texture coordinates.,FALSE,TRUE
Multiple Scenes,1,,Multiple Scenes,,Ed Mackey,"Analytical Graphics, Inc.",2017,CC-BY 4.0,"A simple glTF asset with two scenes. Each scene consists of one node with one mesh. For the first scene, the mesh is a triangle. For the second scene, the mesh is a square. The default scene is set to 1 by the scene property, so viewers should initially show the scene containing the square.",FALSE,
Normal-Tangent Mirror Test,1,NormalTangentMirrorTest,Normal-Tangent Mirror Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/NormalTangentMirrorTest,Ed Mackey,"Analytical Graphics, Inc.",2018,CC-BY 4.0,Tests an engine's ability to load supplied tangent vectors for a normal map.,FALSE,TRUE
Normal-Tangent Test,1,NormalTangentTest,Normal-Tangent Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/NormalTangentTest,Ed Mackey,"Analytical Graphics, Inc.",2018,CC0,Tests an engine's ability to automatically generate tangent vectors for a normal map.,FALSE,TRUE
Orientation Test,1,OrientationTest,Orientation Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/OrientationTest,Khronos,Unknown,2017,CC-BY 4.0,Tests node translations and rotations.,FALSE,TRUE
Reciprocating Saw,1,ReciprocatingSaw,Reciprocating Saw,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/ReciprocatingSaw,SharpGLTF,SharpGLTF,2021,CC-BY 4.0,"Small CAD data set, including hierarchy.",TRUE,TRUE
Recursive Skeletons,1,RecursiveSkeletons,Recursive Skeletons,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/RecursiveSkeletons,Cesium,Cesium,2017,CC-BY 4.0,Tests unusual skinning cases with reused meshes and recursive skeletons.,FALSE,
Rigged Figure,0,RiggedFigure,Rigged Figure,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/RiggedFigure,Cesium,Cesium,2017,CC-BY 4.0,Animations. Skins.,TRUE,TRUE
Rigged Simple,1,RiggedSimple,Rigged Simple,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/RiggedSimple,Cesium,Cesium,2017,CC-BY 4.0,Animations. Skins. Start with this to test skinning.,TRUE,TRUE
Sci Fi Helmet,1,SciFiHelmet,Sci Fi Helmet,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/SciFiHelmet,Michael Pavlovic,Public,2019,CC0, ,TRUE,TRUE
SheenChair,1,SheenChair,SheenChair,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/SheenChair,Eric Chadwick,"Wayfair, LLC",2020,CC0,Chair using material variants and sheen.,FALSE,TRUE
Sheen Cloth,1,SheenCloth,Sheen Cloth,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/SheenCloth,Microsoft,Microsoft,2020,CC0,Fabric example using sheen.,FALSE,TRUE
SimpleMeshes,1,SimpleMeshes,SimpleMeshes,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/SimpleMeshes,Khronos,Public,2017,CC0,"A simple scene with two nodes, both containing the same mesh, namely a mesh with a single mesh.primitive with a single indexed triangle with multiple attributes (positions, normals and texture coordinates), but without a material",FALSE,TRUE
SimpleMorph,1,SimpleMorph,SimpleMorph,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/SimpleMorph,Khronos,Public,2017,CC0,A triangle with a morph animation applied,FALSE,TRUE
SimpleSkin,1,SimpleSkin,SimpleSkin,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/SimpleSkin,Khronos,Public,2017,CC0,A simple example of vertex skinning in glTF,FALSE,TRUE
SimpleSparseAccessor,1,SimpleSparseAccessor,SimpleSparseAccessor,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/SimpleSparseAccessor,Khronos,Public,2017,CC-BY 4.0,A simple mesh that uses sparse accessors,FALSE,TRUE
SpecGlossVsMetalRough,0,SpecGlossVsMetalRough,SpecGlossVsMetalRough,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/SpecGlossVsMetalRough,Microsoft,Microsoft,,CC-BY 4.0,Tests if the KHR_materials_pbrSpecularGlossiness extension is supported properly.,FALSE,TRUE
Specular Test,1,SpecularTest,Specular Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/SpecularTest,Ed Mackey,"Analytical Graphics, Inc.",2021,CC-BY 4.0,Tests if the KHR_materials_specular extension is supported correctly.,FALSE,TRUE
Sponza,1,Sponza,Sponza,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/Sponza,Unknown,Unknown,2017,Unknown,"Building interior, often used to test lighting.",TRUE,
StainedGlassLamp,1,StainedGlassLamp,StainedGlassLamp,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/StainedGlassLamp,Eric Chadwick,Wayfair,2021,CC-BY 4.0, ,FALSE,TRUE
Suzanne,1,Suzanne,Suzanne,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/Suzanne,Norbert Nopper,UX3D,2017,CC0, ,FALSE,TRUE
Texture Coordinate Test,1,TextureCoordinateTest,Texture Coordinate Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/TextureCoordinateTest,Ed Mackey,"Analytical Graphics, Inc.",2017,CC0,Shows how XYZ and UV positions relate to displayed geometry.,FALSE,TRUE
Texture Encoding Test,1,TextureEncodingTest,Texture Encoding Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/TextureEncodingTest,Khronos,Public,2017,CC0, ,FALSE,TRUE
Texture Linear Interpolation Test,1,TextureLinearInterpolationTest,Texture Linear Interpolation Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/TextureLinearInterpolationTest,Khronos,Public,2017,CC0,"Tests that linear texture interpolation is performed on linear values, i.e. after sRGB decoding.",FALSE,TRUE
Texture Settings Test,1,TextureSettingsTest,Texture Settings Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/TextureSettingsTest,Ed Mackey,"Analytical Graphics, Inc.",2017,CC-BY 4.0,Tests single/double-sided and various texturing modes.,FALSE,TRUE
Texture Transform Multi Test,1,TextureTransformMultiTest,Texture Transform Multi Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/TextureTransformMultiTest,Ed Mackey,"Analytical Graphics, Inc.",2020,CC-BY 4.0,Tests if the KHR_texture_transform extension is supported for several inputs.,FALSE,TRUE
Texture Transform Test,1,TextureTransformTest,Texture Transform Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/TextureTransformTest,Microsoft,Microsoft,2018,CC0,Tests if the KHR_texture_transform extension is supported for BaseColor.,FALSE,TRUE
Toy Car,1,ToyCar,Toy Car,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/ToyCar,Guido Odendahl;Extensions and scene composition: Eric Chadwick,Public,2020,CC0,"Toy car example using transmission, clearcoat, and sheen.",FALSE,
Transmission Roughness Test,1,TransmissionRoughnessTest,Transmission Roughness Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/TransmissionRoughnessTest,Ed Mackey,"Analytical Graphics, Inc.",2021,CC-BY 4.0,Tests the interaction between roughness and IOR.,FALSE,TRUE
Transmission Test,1,TransmissionTest,Transmission Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/TransmissionTest,Adobe,Public,2020,CC0,Tests if the KHR_materials_transmission extension is supported properly.,FALSE,TRUE
Triangle,1,Triangle,Triangle,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/Triangle,Khronos,Public,2017,CC0,"A very simple glTF asset: The basic structure is the same as in Triangle Without Indices, but here, the mesh.primitive describes an indexed geometry",FALSE,TRUE
TriangleWithoutIndices,1,TriangleWithoutIndices,TriangleWithoutIndices,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/TriangleWithoutIndices,Khronos,Public,2017,CC0,"The simplest possible glTF asset: A single scene with a single node and a single mesh with a single mesh.primitive with a single triangle with a single attribute, without indices and without a material",FALSE,TRUE
Two Sided Plane,1,TwoSidedPlane,Two Sided Plane,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/TwoSidedPlane,Norbert Nopper,UX3D,2017,CC0,A plane having the two sided material parameter enabled.,TRUE,TRUE
Unicode❤♻Test,1,Unicode❤♻Test,Unicode❤♻Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/Unicode%E2%9D%A4%E2%99%BBTest,Viktor Kovács,Public,0,CC0 + ?,"A sample with Unicode characters in file, material, and mesh names",FALSE,
Unlit Test,1,UnlitTest,Unlit Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/UnlitTest,Ed Mackey,"Analytical Graphics, Inc.",2019,CC-BY 4.0,Tests if the KHR_materials_unlit extension is supported properly.,FALSE,TRUE
Virtual City,1,VC,Virtual City,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/VC,3DRT,3DRT,0,,Textured. Animations.,TRUE,
Vertex Color Test,0,VertexColorTest,Vertex Color Test,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/VertexColorTest,Ed Mackey,"Analytical Graphics, Inc.",2018,CC-BY 4.0,Tests if vertex colors are supported.,FALSE,TRUE
Water Bottle,0,WaterBottle,Water Bottle,https://github.com/KhronosGroup/glTF-Sample-Models/tree/master/2.0/WaterBottle,Microsoft,Public,2018,CC0,,TRUE,TRUE